areas,seats,candidates,registered.voters,turnout.voters,turnout,valid.votes,invalid.votes,elected
312,3,5,407.673,406.515,"99,72% ","401.092 (98,72%)","5.207 (1,28%)",3
279,3,5,478.364,478.165,"99,96% ","469.129 (98,14%)","8.874 (1,86%)",3
336,3,5,495.919,494.504,"99,71% ","485.805 (98,32%)","8.306 (1,68%)",3
465,3,5,544.966,543.981,"99,82% ","533.720 (98,15%)","10.038 (1,85%)",3
492,3,5,522.286,521.255,"99,80% ","510.829 (98,06%)","10.087 (1,94%)",3
817,3,5,579.699,570.367,"98,39% ","557.020 (97,77%)","12.691 (2,23%)",3
572,3,5,491.122,485.796,"98,92% ","472.580 (97,42%)","12.534 (2,58%)",3
733,3,5,567.802,565.852,"99,66% ","555.928 (98,30%)","9.590 (1,70%)",3
364,3,5,403.109,401.361,"99,57% ","396.055 (98,72%)","5.146 (1,28%)",3
402,3,5,372.646,366.21,"98,27% ","346.604 (94,83%)","18.897 (5,17%)",3
205,3,5,421.642,421.269,"99,91% ","414.706 (98,45%)","6.528 (1,55%)",3
185,3,5,269.812,268.67,"99,58% ","265.531 (98,83%)","3.131 (1,17%)",3
239,3,5,471.227,471.049,"99,96% ","463.730 (98,45%)","7.319 (1,55%)",3
242,3,5,476.027,475.911,"99,98% ","470.231 (98,81%)","5.674 (1,19%)",3
329,3,5,483.549,483.34,"99,96% ","477.918 (98,88%)","5.398 (1,12%)",3
212,3,6,434.743,434.522,"99,95% ","429.125 (98,76%)","5.383 (1,24%)",3
280,3,5,545.328,542.59,"99,50% ","532.788 (98,21%)","9.715 (1,79%)",3
326,3,5,611.605,609.897,"99,72% ","603.761 (98,99%)","6.135 (1,01%)",3
330,3,5,536.371,535.449,"99,83% ","528.562 (98,71%)","6.885 (1,29%)",3
325,3,5,536.357,535.33,"99,81% ","528.385 (98,70%)","6.945 (1,30%)",3
484,3,5,488.056,485.551,"99,49% ","483.130 (99,53%)","2.299 (0,47%)",3
391,3,5,454.134,451.833,"99,49% ","449.219 (99,47%)","2.408 (0,53%)",3
653,3,5,470.736,468.907,"99,61% ","465.509 (99,38%)","2.887 (0,62%)",3
248,3,5,322.611,322.327,"99,91% ","320.928 (99,58%)","1.353 (0,42%)",3
236,3,5,334.76,334.336,"99,87% ","332.962 (99,61%)","1.297 (0,39%)",3
429,3,5,412.62,411.542,"99,74% ","406.979 (98,91%)","4.473 (1,09%)",3
323,2,3,290.99,290.864,"99,96% ","289.263 (99,48%)","1.521 (0,52%)",2
211,2,3,217.362,217.362,"100,00% ","217.196 (99,92%)","166 (0,08%)",2
296,2,3,343.467,343.398,"99,98% ","342.788 (99,82%)","610 (0,18%)",2
284,2,4,316.858,315.871,"99,69% ","314.864 (99,68%)","1.007 (0,32%)",2
313,3,5,448.994,448.156,"99,81% ","446.798 (99,70%)","1.358 (0,30%)",3
579,3,5,560.437,560.105,"99,94% ","558.606 (99,73%)","1.499 (0,27%)",3
343,3,5,367.398,367.319,"99,98% ","363.597 (99,12%)","3.230 (0,88%)",3
500,3,5,374.25,374.146,"99,97% ","370.822 (99,17%)","3.115 (0,83%)",3
757,3,5,413.539,411.679,"99,55% ","399.505 (97,04%)","12.174 (2,96%)",3
597,3,5,397.183,391.939,"98,68% ","378.709 (96,62%)","13.230 (3,38%)",3
716,2,3,336.453,332.047,"98,69% ","327.881 (98,75%)","4.166 (1,25%)",2
426,3,5,98.801,98.52,"99,72% ","96.861 (98,33%)","1.644 (1,67%)",3
440,3,5,115.142,114.868,"99,76% ","111.874 (97,41%)","2.971 (2,59%)",3
231,3,5,246.877,246.559,"99,87% ","246.483 (99,97%)","76 (0,03%)",3
354,3,5,353.027,349.513,"99,00% ","348.502 (99,74%)","893 (0,26%)",3
471,3,5,384.564,378.422,"98,40% ","361.297 (95,84%)","15.677 (4,16%)",3
500,3,5,320.785,316.699,"98,73% ","307.554 (97,45%)","8.032 (2,55%)",3
456,2,3,261.724,261.091,"99,76% ","260.009 (99,59%)","1.082 (0,41%)",2
389,2,3,261.724,261.091,"99,76% ","260.009 (99,59%)","1.082 (0,41%)",2
571,3,5,369.62,369.357,"99,93% ","367.958 (99,62%)","1.386 (0,38%)",3
344,3,5,417.803,415.993,"99,57% ","412.547 (99,17%)","3.438 (0,83%)",3
386,3,5,409.313,406.013,"99,19% ","402.481 (99,13%)","3.522 (0,87%)",3
148,2,3,254.857,253.228,"99,36% ","251.678 (99,40%)","1.516 (0,60%)",2
510,3,5,480.304,479.921,"99,92% ","473.312 (98,66%)","6.408 (1,34%)",3
452,3,5,391.739,391.527,"99,95% ","389.249 (99,44%)","2.201 (0,56%)",3
290,2,4,234.606,234.18,"99,82% ","232.737 (99,39%)","1.419 (0,61%)",2
498,3,5,298.895,298.431,"99,84% ","297.189 (99,60%)","1.204 (0,40%)",3
449,3,5,332.215,331.729,"99,85% ","330.131 (99,53%)","1.571 (0,47%)",3
201,2,3,205.877,205.855,"99,99% ","205.017 (99,60%)","828 (0,40%)",2
387,3,5,407.809,407.628,"99,96% ","403.685 (99,08%)","3.729 (0,92%)",3
258,2,3,235.846,235.72,"99,95% ","234.539 (99,53%)","1.099 (0,47%)",2
407,3,5,336.974,336.417,"99,83% ","335.133 (99,63%)","1.233 (0,37%)",3
455,2,3,291.462,289.684,"99,39% ","289.047 (99,79%)","621 (0,21%)",2
610,3,5,161.779,161.455,"99,80% ","160.155 (99,20%)","1.289 (0,80%)",3
632,3,5,181.35,181.244,"99,94% ","179.036 (98,79%)","2.202 (1,21%)",3
557,3,5,420.932,420.12,"99,81% ","416.503 (99,16%)","3.521 (0,84%)",3
676,3,5,386.426,386.301,"99,97% ","385.075 (99,68%)","1.225 (0,32%)",3
549,3,5,353.94,353.547,"99,89% ","350.693 (99,20%)","2.818 (0,80%)",3
376,3,5,177.047,176.645,"99,77% ","174.390 (98,83%)","2.058 (1,17%)",3
320,3,6,154.116,153.933,"99,88% ","150.470 (97,80%)","3.383 (2,20%)",3
467,3,5,169.817,169.703,"99,93% ","169.031 (99,61%)","668 (0,39%)",3
507,3,5,138.475,138.175,"99,78% ","137.860 (99,77%)","315 (0,23%)",3
631,3,5,867.308,864.995,"99,73% ","859.537 (99,33%)","5.835 (0,67%)",3
301,3,5,392.737,392.11,"99,84% ","389.759 (99,50%)","1.943 (0,50%)",3
344,3,5,381.853,381.822,"99,99% ","380.717 (99,71%)","1.095 (0,29%)",3
