UBND TỈNH BẮC KẠN Mẫu số 10/CKNS-NSĐP
PEOPLES COMMITTEE BAC KAN Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2007
FLAN OF LOCAL BUDGETS FY 2007
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","110,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","105,000"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","5,000"
4,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"1,080,621"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","105,000"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","57,417"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","47,583"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","971,351"
,Bổ sung cân đối - Balancing transfers,"594,980"
,Bổ sung có mục tiêu - Target transfers,"376,371"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","3,070"
6,"Thu XSKT quản lý qua NSNN
Lottery revenues kept at units","1,200"
III,Chi ngân sách địa phương - Local budget expenditures,"1,080,621"
1,"Chi đầu tư phát triển
Development investment expenditures","143,568"
2,Chi thường xuyên - Recurrent expenditures,"531,094"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,000"
5,Dự phòng - Contingencies,"27,311"
6,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform","7,472"
7,"Chi CTMT quốc gia và nhiệm vụ khác 
Target program expenditure and others","368,976"
8,"Thu XSKT quản lý qua NSNN
Lottery revenues kept at units","1,200"
