UBND TỈNH BÌNH DƯƠNG Mẫu số 10/CKNS-NSĐP,
BINHDUONG PEOPLES COMMITTEE Table 10/CKNS-NSDP,
,,,
,,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2007,
PLAN OF LOCAL BUDGETS FY 2007,
,,,
,Triệu đồng - Millions of dong,
,,,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan",

I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","6,775,738",
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excl.oil)","4,575,738",
2,Thu từ dầu thô - Oil revenues,,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","2,200,000",
4,Thu viện trợ không hoàn lại - Grants,,
II,Thu ngân sách địa phương - Local budget revenues,"2,415,824",
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","2,357,693",
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","895,263",
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Revenues shared in percentage","1,462,430",
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","58,131",
,Bổ sung cân đối - Balancing transfers,,
,Bổ sung có mục tiêu - Target transfers,,
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8.Clause 3 - The State Budget Law",0,
4,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues",0,
III,Chi ngân sách địa phương - Local budget expenditures,"2,816,706",
1,Chi đầu tư phát triển - Development investment expenditures,"1,257,552",
2,Chi thường xuyên - Recurrent expenditures,"1,467,732",
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State Budget Law",0,
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial Reserve Fund","2,000",
5,Dự phòng - Contingencies,"89,422",
