UBND TỈNH HẢI DƯƠNG Mẫu số 12/CKNS-NSĐP HAIDUONG PEOPLES COMMITTEE Table 12/CKNS-NSDP
,,
DỰ TOÁN THU NGÂN SÁCH NHÀ NƯỚC NĂM 2007
PLAN OF STATE BUDGET REVENUES FY 2007

,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan"
,"TỔNG THU NGÂN SÁCH NHÀ NƯỚC TRÊN ĐỊA BÀN 
TOTAL STATE BUDGET REVENUES IN PROVINCIAL AREA","2,510,000"
A,"Tổng thu các khoản cân đối NSNN 
Total balancing revenues","2,510,000"
I,"Thu từ hoạt động sản xuất kinh doanh trong nước
Domestic revenues","2,000,000"
1,Thu từ DNNN trung ương - Central SOEs Revenue,"500,000"
,Thuế giá trị gia tăng - Value Added Tax,"387,680"
,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"85,000"
,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","22,000"
,Thuế tài nguyên - Natural resource tax,"5,000"
,Thuế môn bài - License Tax,300
,Thu khác - Others,20
2,Thu từ DNNN địa phương - Local SOEs Renenue,"13,500"
,Thuế giá trị gia tăng - Value Added Tax,"10,678"
,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"2,420"
,Thuế tài nguyên - Natural resource tax,252
,Thuế môn bài - License Tax,150
3,"Thu từ doanh nghiệp có vốn đầu tư nước ngoài 
Foreign Invested Enterprises Revenue","780,000"
,Thuế giá trị gia tăng - Value Added Tax,"205,000"
,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"8,680"
,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","565,700"
,Thuế môn bài - License Tax,200
,Tiền thuê đất - Land rental,420
4,"Thu từ khu vực CTN, dịch vụ NQD
Non-state Sector Revenue","125,000"
,Thuế giá trị gia tăng - Value Added Tax,"86,830"
,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"25,000"
,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","3,500"
,Thuế tài nguyên - Natural resource tax,610
,Thuế môn bài - License Tax,"8,620"
,Thu khác - Others,440
5,Lệ phí trước bạ - Registration Fees,"39,000"
6,"Thuế sử dụng đất nông nghiệp
Agricultural Land Use Tax","1,700"
7,"Thuế thu nhập đối với người có thu nhập cao
Individual income tax","19,000"
8,Thu xổ số kiến thiết - Lottery Revenue,"9,000"
9,"Thu phí, lệ phí - Fees","36,850"
10,Thu phí xăng dầu - Gasoline Fees Revenue,"57,000"
11,"Các khoản thu về nhà đất
Housing and land Revenues","381,950"
,Thuế nhà đất - Land and Housing Tax,"15,300"
,"Thuế chuyển quyền sử dụng đất
Land User Right Transfer Tax","12,500"
,Thu tiền thuê đất - Land Rental Revenue,"23,650"
,"Thu giao quyền sử dụng đất 
Land use right assignment revenue","330,000"
,"Thu tiền bán, thuê nhà ở thuộc sở hữu nhà nước
Sales, Leasing of State-owned Houses Revenue",500
12,"Thu từ quỹ đất công ích, hoa lợi công sản tại xã 
Revenue from Public lands at communes","30,000"
13,Thu khác ngân sách - Other revenues,"7,000"
II,"Thu thuế xuất khẩu, thuế nhập khẩu, thuế TTĐB, VAT hàng NK do Hải quan thu
Revenues from Export-Import duties, special consumption tax, VAT tax on Imports","510,000"
,"TỔNG THU NGÂN SÁCH ĐỊA PHƯƠNG
TOTAL LOCAL BUDGET REVENUES","2,257,866"
I,Các khoản thu cân đối NSĐP - Balance revenues,"2,257,866"
1,"Các khoản thu hưởng 100%
Revenue with 100% entitlement","1,981,938"
2,"Thu phân chia theo tỷ lệ % NSĐP được hưởng
Shared revenues in percentage","18,062"
3,"Thu bổ sung từ ngân sách Trung ương 
Transfer from Central budget","257,866"
