UBND TP HỒ CHÍ MINH Mẫu số 12/CKNS-NSĐP
HOCHIMINH PEOPLES COMMITTEE Table 12/CKNS-NSDP
,,
DỰ TOÁN THU NGÂN SÁCH NHÀ NƯỚC NĂM 2007
PLAN OF STATE BUDGET REVENUES FY 2007

,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan"
,"TỔNG THU NGÂN SÁCH NHÀ NƯỚC TRÊN ĐỊA BÀN 
TOTAL STATE BUDGET REVENUE IN PROVINCIAL AREA","77,959,500"
A,"Tổng thu các khoản cân đối NSNN 
Total balance revenues","77,959,500"
I,"Thu từ hoạt động sản xuất kinh doanh trong nước
Domestic revenues","41,069,500"
1,Thu từ DNNN trung ương - Central SOEs Revenue,"8,421,700"
1.1,Thuế giá trị gia tăng - Value Added Tax,"3,678,000"
1.2,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"1,700,000"
1.3,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","3,040,400"
1.5,Thuế môn bài - License Tax,"2,300"
,Thu khác - Others,"1,000"
2,Thu từ DNNN địa phương - Local SOEs Renenue,"4,100,000"
2.1,Thuế giá trị gia tăng - Value Added Tax,"1,730,000"
2.2,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"1,362,000"
2.3,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","1,000,000"
2.4,Thuế tài nguyên - Natural resource tax,80
2.5,Thuế môn bài - License Tax,"3,000"
2.6,Thu sự nghiệp - Service revenue,
2.7,Thu khác - Others,"4,920"
3,"Thu từ doanh nghiệp có vốn đầu tư nước ngoài 
Foreign Invested Enterprises Revenue","10,524,200"
3.1,Thuế giá trị gia tăng - Value Added Tax,"4,037,000"
3.2,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"3,795,000"
3.3,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","2,662,200"
3.4,"Thu tiền cho thuê mặt đất, mặt nước 
Land and water Rental Revenue","20,000"
3.5,Thuế môn bài - License Tax,"4,100"
3.6,Thuế tài nguyên - Natural resource tax,800
3.7,Thu khác - Others,"5,100"
4,"Thu từ khu vực CTN, dịch vụ NQD
Non-state Sector Revenue","9,480,000"
4.1,Thuế giá trị gia tăng - Value Added Tax,"4,090,000"
4.2,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"4,955,000"
4.3,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","270,000"
4.4,Thuế môn bài - License Tax,"150,000"
4.5,Thu khác - Others,"15,000"
5,Lệ phí trước bạ - Registration Fees,"1,091,000"
6,"Thuế sử dụng đất nông nghiệp
 Agricultural Land Use Tax",0
7,"Thuế thu nhập đối với người có thu nhập cao
Individual Income Tax","2,765,000"
8,Thu xổ số kiến thiết - Lottery Revenue,0
9,"Thu phí, lệ phí - Fees","530,000"
10,Thu phí xăng dầu - Gasoline Fees Revenue,"1,020,000"
11,Các khoản thu về nhà đất - Housing and land Revenues,"2,387,600"
,Thuế nhà đất - Land and Housing Tax,"77,600"
,"Thuế chuyển quyền sử dụng đất
Land Use Right Transfer Tax","240,000"
,"Thu tiền cho thuê mặt đất, mặt nước 
Land and water Rental Revenue","180,000"
,"Thu giao quyền sử dụng đất 
Land use right assignment revenue","1,590,000"
,"Thu tiền bán, thuê nhà ở thuộc sở hữu nhà nước
Sales, Leasing of State-owned Houses Revenue","300,000"
12,"Thu từ quỹ đất công ích, hoa lợi công sản tại xã 
Revenue from Public lands at Communes","40,000"
13,Thu khác ngân sách - Other Revenues,"710,000"
II,"Thu thuế xuất khẩu, thuế nhập khẩu, thuế TTĐB, VAT hàng NK do Hải quan thu
Revenues from Export-Import duties, special consumption tax, VAT tax on Imports","30,800,000"
1,"Thu thuế xuất khẩu, thuế nhập khẩu, thuế TTĐB hàng NK
Export-import duties, special consumption tax on imports","10,400,000"
2,"Thu thuế GTGT hàng NK (thực thu trên địa bàn)
VAT on imports","20,400,000"
III,Thu viện trợ không hoàn lại- Grants,
IV,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State Budget Law",
V,Thu từ dầu thô - Oil Revenues,"6,090,000"
B,"Các khoản thu để lại đơn vị chi quản lý qua NSNN
Unbalance revenues",
,"TỔNG THU NGÂN SÁCH ĐỊA PHƯƠNG
TOTAL LOCAL BUDGET REVENUES","15,710,902"
I,"Các khoản thu cân đối NSĐP
Balance revenues","15,065,902"
1,"Các khoản thu hưởng 100%
Revenue with 100% entitlement","3,684,900"
2,"Thu phân chia theo tỷ lệ % NSĐP được hưởng
Shared revenues in percentage","10,369,631"
3,"Thu bổ sung từ ngân sách Trung ương 
Transfers from Central budget","1,011,371"
4,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues",
II,"Các khoản thu để lại đơn vị chi quản lý qua NSNN
Unbalance revenues","645,000"
