UBND TỈNH BẾN TRE Mẫu số 10/CKNS-NSĐP BEN TRE PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
PLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","719,300"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","719,300"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net",
4,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"1,529,657"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","714,300"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","343,980"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","370,320"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","815,357"
,Bổ sung cân đối - Balancing transfers,"550,631"
,Bổ sung có mục tiêu - Target transfers,"264,726"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues",
III,Chi ngân sách địa phương - Local budget expenditures,"1,529,657"
1,"Chi đầu tư phát triển
Development investment expenditures","176,900"
2,Chi thường xuyên - Recurrent expenditures,"1,085,007"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,000"
5,Dự phòng - Contingencies,"35,643"
6,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform","14,300"
7,"Chi CTMT quốc gia và nhiệm vụ khác 
Target program expenditure and others","216,807"
