UBND TỈNH BÌNH ĐỊNH Mẫu số 10/CKNS-NSĐP
BINH DINH PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
PLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","2,000,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","1,486,000"
2,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","325,000"
3,"Thu từ hoạt động xổ số kiến thiết
Lottery revenues","45,000"
4,"Các khoản ghi thu - ghi chi NSNN
Unbalance revenues","144,000"
II,Thu ngân sách địa phương - Local budget revenues,"2,802,930"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","1,468,213"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","584,768"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","883,445"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","998,717"
,Bổ sung cân đối - Balancing transfers,"480,092"
,Bổ sung có mục tiêu - Target transfers,"483,244"
,"Bổ sung thực hiện chế độ tiền lương tối thiểu 450.000đ/tháng 
Targeted transfers to salary reforms","35,381"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","20,000"
5,"Thu từ hoạt động xổ số kiến thiết
Lottery revenues","45,000"
6,"Các khoản ghi thu - ghi chi NSNN
Unbalance revenues","144,000"
7,"Thu vay, tạm ứng ngân sách tỉnh và Trung ương
Loans, advance from provincial and central budgets","127,000"
III,Chi ngân sách địa phương - Local budget expenditures,"2,802,930"
1,"Chi đầu tư phát triển
Development investment expenditures","673,922"
2,Chi thường xuyên - Recurrent expenditures,"1,351,572"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,360"
5,Dự phòng - Contingencies,"90,186"
7,"Chi CTMT quốc gia và nhiệm vụ khác 
Target program expenditure and others","489,890"
8,"Thu từ hoạt động xổ số kiến thiết
Lottery revenues","45,000"
9,"Các khoản ghi thu - ghi chi NSNN
Unbalance revenues","144,000"
10,"Chi đầu tư từ nguồn vốn vay và tạm ứng
Investment from loans and advances","7,000"
