UBND TỈNH BÌNH DƯƠNG Mẫu số 10/CKNS-NSĐP BINH DUONG PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
PLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","8,930,670"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","5,930,670"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","3,000,000"
4,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"3,389,685"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","3,036,366"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","1,117,450"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","1,918,916"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","54,248"
,Bổ sung cân đối - Balancing transfers,
,Bổ sung có mục tiêu - Target transfers,"54,248"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,Thu kết dư ngân sách - Budget remainder revenue,"299,071"
III,Chi ngân sách địa phương - Local budget expenditures,"3,389,685"
1,"Chi đầu tư phát triển
Development investment expenditures","1,553,550"
2,Chi thường xuyên - Recurrent expenditures,"1,748,322"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","2,000"
5,Dự phòng - Contingencies,"85,813"
