UBND TỈNH BÌNH THUẬN Mẫu số 10/CKNS-NSĐP BINH THUAN PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
FLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","3,835,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","1,845,000"
2,Thu từ dầu thô - Oil revenues,"1,960,000"
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","30,000"
4,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"2,754,478"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","1,378,200"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","690,150"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","688,050"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","1,014,678"
,Bổ sung cân đối - Balancing transfers,"492,016"
,Bổ sung có mục tiêu - Target transfers,"522,662"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law","200,000"
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues",
6,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues",
7,"Thu để lại đơn vị chi quản lý qua NSNN
Unbalance revenues","161,600"
III,Chi ngân sách địa phương - Local budget expenditures,"2,754,478"
1,"Chi đầu tư phát triển
Development investment expenditures","620,000"
2,Chi thường xuyên - Recurrent expenditures,"1,522,181"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,100"
5,Dự phòng - Contingencies,"46,330"
6,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform",
7,"Chi CTMT quốc gia và nhiệm vụ khác 
Target program expenditure and others","403,267"
8,"Chi chuyển nguồn ngân sách sang năm sau
Brought forward expenditures",
9,"Chi từ nguồn để lại quản lý qua NSNN
Unbalance expenditure",161600
