UBND THÀNH PHỐ ĐÀ NẴNG Mẫu số 10/CKNS-NSĐP DA NANG PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
PLAN OF LOCAL BUDGET FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","6,722,744"
,Trong đó - Of which:,
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","4,048,000"
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","1,620,000"
II,Thu ngân sách địa phương - Local budget revenues,"5,498,270"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","3,811,111"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","2,133,780"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","1,677,331"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","242,881"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law","800,000"
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","149,000"
6,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues","254,744"
7,"Thu chuyển giao giữa các cấp ngân sách
Intergovernmental transfers","240,534"
III,Chi ngân sách địa phương - Local budget expenditures,"5,498,270"
1,"Chi đầu tư phát triển
Development investment expenditures","3,387,260"
2,"Chi thường xuyên và trả nợ vay 
Recurrent expenditure and debts repayment","1,185,317"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 – The State budget law",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","5,000"
5,Dự phòng – Contingencies,"136,581"
6,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform","237,738"
7,"Chi CTMT quốc gia và nhiệm vụ khác 
Target program expenditure and others","38,400"
8,"Chi chuyển nguồn ngân sách sang năm sau
Brought forward expenditures",
9,"Thu chuyển giao giữa các cấp ngân sách
Intergovernmental transfers","240,534"
10,"Chi từ nguồn bổ sung có mục tiêu của TW 
Target transfers by central budget","4,100"
11,"Tiết kiệm 10% để thực hiện cải cách tiền lương (tại NSTP)
10% of savings to reform salary (by city budget)","1,016"
12,"Tiết kiệm 5% chi thường xuyên để xây dựng Bệnh viện ung bướu
Save 5% of recurrent expenditures to construct a cancer clinic","7,580"
13,"Chi từ nguồn thu để lại quản lý qua NSNN
Unbalance expenditures","254,744"
