UBND TỈNH ĐĂK LĂK Mẫu số 10/CKNS-NSĐP DAK LAK PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
PLAN OF LOCAL BUDGET FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","1,976,815"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","1,696,500"
2,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","3,500"
3,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues","276,815"
II,Thu ngân sách địa phương - Local budget revenues,"3,886,114"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","1,686,090"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","89,183"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","1,596,907"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","1,859,069"
,Bổ sung cân đối - Balancing transfers,"1,312,649"
,Bổ sung có mục tiêu - Target transfers,"546,420"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","64,140"
6,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues","276,815"
III,Chi ngân sách địa phương - Local budget expenditures,"3,886,114"
1,"Chi đầu tư phát triển
Development investment expenditures","299,775"
2,Chi thường xuyên - Recurrent expenditures,"2,296,041"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law","156,500"
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,440"
5,Dự phòng - Contingencies,"100,895"
6,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform","208,228"
7,"Chi CTMT quốc gia và nhiệm vụ khác 
Target program expenditure and others","546,420"
8,"Chi từ nguồn thu để lại đơn vị chi quản lý qua NSNN
Unbalance expenditures","276,815"
