UBND THÀNH PHỐ HÀ NỘI Mẫu số 10/CKNS-NSĐP HA NOI PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
FLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"NGÂN SÁCH CẤP THÀNH PHỐ 
- PROVINCIAL LEVEL BUDGET","54,585,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","43,045,000"
2,Thu từ dầu thô - Oil revenues,"6,400,000"
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","5,140,000"
4,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"13,734,931"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","11,744,494"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","5,443,750"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","6,300,744"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","990,437"
,Bổ sung cân đối - Balancing transfers,
,Bổ sung có mục tiêu - Target transfers,"990,437"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law","1,000,000"
III,Chi ngân sách địa phương - Local budget expenditures,"13,734,931"
1,"Chi đầu tư phát triển
Development investment expenditures","7,975,000"
2,Chi thường xuyên - Recurrent expenditures,"3,799,000"
3,Dự phòng - Contingencies,"309,465"
4,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform","550,000"
5,"Chi CTMT quốc gia và nhiệm vụ khác 
Target program expenditure and others","205,000"
6,"Chi chuyển nguồn ngân sách sang năm sau
Brought forward expenditures",
7,"Chi thoái trả tiền nhà, đất
Refunds for land, housingrevenues","30,000"
8,"Chi cho lĩnh vực vẩn chuyển hành khách công cộng và duy tu hạ tầng kỹ thuật và cải tạo nhà thuộc sở hữu Nhà nước
Public transportation and maintenance infrastructure, upgradation of state owned houses","773,000"
9,"Chi thực hiện các chế độ mới ở cấp quận huyện và đảm bảo nhiệm vụ theo Nghị quyết 08
Realising New policies at district level and assignment by the resolution 08","93,466"
