UBND TỈNH HẢI DƯƠNG Mẫu số 10/CKNS-NSĐP HAI DUONG PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
PLAN OF LOCAL BUDGETS FY 2008
,,
,,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","2,607,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","2,317,000"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","290,000"
4,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"2,621,216"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","2,306,000"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","2,306,000"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage",
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","248,463"
,Bổ sung cân đối - Balancing transfers,"78,068"
,Bổ sung có mục tiêu - Target transfers,"170,395"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","49,753"
6,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues","17,000"
III,Chi ngân sách địa phương - Local budget expenditures,"2,621,216"
1,"Chi đầu tư phát triển
Development investment expenditures","592,060"
2,Chi thường xuyên - Recurrent expenditures,"1,634,744"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,230"
5,Dự phòng - Contingencies,"66,250"
6,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform","136,537"
7,"Chi CTMT quốc gia và nhiệm vụ khác 
Target program expenditure and others","170,395"
8,"Chương trình dự án khác
Other programs and projects","3,000"
9,"Các khoản chi quản lý qua ngân sách
Unbalance expenditures","17,000"
