UBND TỈNH KIÊN GIANG Mẫu số 10/CKNS-NSĐP KIEN GIANG PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
PLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","2,000,431"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","1,455,000"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","33,000"
4,Thu viện trợ không hoàn lại - Grants,
5,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues","512,431"
II,Thu ngân sách địa phương - Local budget revenues,"3,090,923"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","1,443,000"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","1,061,074"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","74,418"
6,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues","512,431"
III,Chi ngân sách địa phương - Local budget expenditures,"3,090,923"
,Trong đó - Of which:,
1,"Chi đầu tư phát triển
Development investment expenditures","1,159,260"
2,Chi thường xuyên - Recurrent expenditures,"1,545,616"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","2,000"
5,Dự phòng - Contingencies,"56,130"
