UBND TỈNH LONG AN Mẫu số 10/CKNS-NSĐP LONG AN PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
PLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","1,642,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","1,510,000"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","132,000"
4,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"2,138,717"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","1,504,500"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","512,530"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","991,970"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","634,217"
,Bổ sung cân đối - Balancing transfers,"439,660"
,Bổ sung có mục tiêu - Target transfers,"194,557"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
III,Chi ngân sách địa phương - Local budget expenditures,"2,050,452"
1,"Chi đầu tư phát triển
Development investment expenditures","527,230"
2,Chi thường xuyên - Recurrent expenditures,"1,451,522"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,260"
5,Dự phòng - Contingencies,"70,440"
