UBND TỈNH VĨNH LONG Mẫu số 10/CKNS-NSĐP VINH LONG PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
PLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","825,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","787,000"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","38,000"
4,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"1,410,013"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","778,850"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","205,580"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","573,270"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","624,207"
,Bổ sung cân đối - Balancing transfers,"412,725"
,Bổ sung có mục tiêu - Target transfers,"169,680"
,"Bổ sung thực hiện điều chỉnh lương tối thiểu 450.000đ/tháng
Salary transfers as reform of minimum salary of 450.000","41,802"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","6,956"
6,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues",
III,Chi ngân sách địa phương - Local budget expenditures,"1,410,013"
1,"Chi đầu tư phát triển
Development investment expenditures","371,330"
2,Chi thường xuyên - Recurrent expenditures,"855,562"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,000"
5,Dự phòng - Contingencies,"45,130"
6,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform","83,261"
7,"Chi CTMT quốc gia và nhiệm vụ khác 
National target program expenditure and others","53,730"
