UBND TỈNH BẾN TRE Mẫu số 12/CKNS-NSĐP BEN TRE PEOPLES COMMITTEE Table 12/CKNS-NSDP
,,
DỰ TOÁN THU NGÂN SÁCH NHÀ NƯỚC NĂM 2007
PLAN OF STATE BUDGET REVENUES FY 2007

,Triệu đồng - Millions of dong
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan"
,"TỔNG THU NGÂN SÁCH NHÀ NƯỚC TRÊN ĐỊA BÀN 
TOTAL STATE BUDGET REVENUE IN PROVINCIAL AREA","989,885"
A,"Tổng thu các khoản cân đối NSNN 
Total balancing revenues","597,345"
I,"Thu từ hoạt động sản xuất kinh doanh trong nước
Domestic Revenues","597,345"
1,Thu từ DNNN trung ương - Central SOEs Revenue,"117,600"
,Thuế giá trị gia tăng - Value Added Tax,"23,228"
,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"3,500"
,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","90,700"
,Thuế môn bài - License Tax,172
,Thu khác - Others,
2,Thu từ DNNN địa phương - Local SOEs Renenue,"37,502"
,Thuế giá trị gia tăng - Value Added Tax,"26,772"
,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"9,800"
,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax",107
,Thuế môn bài - License Tax,173
,Thuế tài nguyên - Natural resource tax,650
3,"Thu từ doanh nghiệp có vốn đầu tư nước ngoài 
Foreign Invested Enterprises Revenue",900
,Thuế giá trị gia tăng - Value Added Tax,882
,"Thu tiền thuê mặt đất, mặt nước
Land Rental, water surface Revenue",
,Thuế môn bài - License Tax,18
4,"Thu từ khu vực ngoài quốc doanh
Non-state Sector Revenue","205,000"
,"Thuế giá trị gia tăng + Thuế Thu nhập doanh nghiệp
Value Added Tax and Corporate Income Tax","193,690"
,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax",500
,Thuế tài nguyên - Natural resource tax,900
,Thuế môn bài - License Tax,"9,660"
,Thu khác - Others,250
5,Lệ phí trước bạ - Registration Fees,"28,650"
6,Thuế sử dụng đất nông nghiệp - Agricultural Land Use Tax,"1,080"
7,"Thuế thu nhập đối với người có thu nhập cao
Individual income tax","30,000"
9,"Thu phí, lệ phí - Fees","30,800"
10,Thu phí xăng dầu - Gasoline Fees Revenue,"49,000"
11,Các khoản thu về nhà đất - Housing and land Revenues,"57,095"
,Thuế nhà đất - Land and Housing Tax,"3,545"
,Thuế chuyển quyền sử dụng đất -Land Use Right Transfer Tax,"13,900"
,Thu tiền thuê đất - Land Rental Revenue,"1,650"
,"Thu giao quyền sử dụng đất 
Land use right assignment revenue","30,000"
,"Thu tiền bán nhà ở thuộc sở hữu nhà nước
Sales of State-owned Houses Revenue","8,000"
12,Thu khác ngân sách - Other Revenues,"34,168"
13,Thu quỹ đất công ích - Revenues from public land,"5,550"
B,"Các khoản thu huy động được để lại chi quản lý qua NSNN
Unbalance revenues","392,540"
,Thu xổ số kiến thiết - Revenues from state- run lotteries,"260,000"
,"Các khoản huy động đóng góp xây dựng CSHT 
Contributions for infrastructure construction","30,100"
,Thu cơ sở vật chất - Materials revenues,"8,450"
,"Thu học phí, viện phí - Tuition and hospital fees","83,590"
,Thu phạt an toàn giao thông - Fine on traffic safety,"10,400"
,"TỔNG THU NGÂN SÁCH ĐỊA PHƯƠNG
TOTAL LOCAL BUDGET REVENUES","1,535,516"
I,"Các khoản thu cân đối NSĐP
Local Budget Balancing Revenues","1,142,976"
1,"Các khoản thu hưởng 100%
Revenue with 100% entitlement","164,166"
2,"Thu phân chia theo tỷ lệ % NSĐP được hưởng
Shared revenues in percentage","428,179"
3,"Thu bổ sung từ ngân sách Trung ương 
Transfers from Central budget","550,631"
II,"Các khoản thu huy động được để lại chi quản lý qua NSNN
Unbalance revenues","392,540"
