UBND TỈNH BÌNH THUẬN Mẫu số 12/CKNS-NSĐP BINHTHUAN PEOPLES COMMITTEE Table 12/CKNS-NSDP
,,
DỰ TOÁN THU NGÂN SÁCH NHÀ NƯỚC NĂM 2007
PLAN OF STATE BUDGET REVENUES FY 2007
,
,Triệu đồng - Millions of dong
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan"
,"TỔNG THU NGÂN SÁCH NHÀ NƯỚC TRÊN ĐỊA BÀN 
TOTAL STATE BUDGET REVENUE IN PROVINCIAL AREA","3,480,000"
A,"Tổng thu các khoản cân đối NSNN 
Total balance revenues","3,350,000"
I,"Thu từ hoạt động sản xuất kinh doanh trong nước
Domestic revenues","1,570,000"
1,Thu từ DNNN trung ương - Central SOEs Revenue,"75,000"
1.1,Thuế giá trị gia tăng - Value Added Tax,"54,500"
1.2,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"9,000"
1.3,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax",
1.4,Thuế tài nguyên - Natural resource tax,"11,300"
1.5,Thuế môn bài - License Tax,200
1.6,Thu khác - Others,
2,Thu từ DNNN địa phương - Local SOEs Renenue,"47,000"
2.1,Thuế giá trị gia tăng - Value Added Tax,"36,238"
2.2,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"7,388"
2.3,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","1,000"
2.4,Thuế tài nguyên - Natural resource tax,"1,860"
2.5,Thuế môn bài - License Tax,514
2.6,Thu khác - Others,
3,"Thu từ doanh nghiệp có vốn đầu tư nước ngoài 
Foreign Invested Enterprises Revenue","240,000"
3.1,Thuế giá trị gia tăng - Value Added Tax,"72,700"
3.2,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"162,000"
3.3,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","1,600"
3.4,Thuế tài nguyên - Natural resource tax,547
3.5,"Thu tiền thuê mặt đất, mặt nước 
Land and watersurface rental","3,000"
3.6,"Thuế môn bài và thu khác - License tax, other revenue",153
4,"Thu từ khu vực CTN, dịch vụ NQD
Non-state Sector Revenue","320,000"
4.1,Thuế giá trị gia tăng - Value Added Tax,"227,430"
4.2,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"75,060"
4.3,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","1,850"
4.4,Thuế tài nguyên - Natural resource tax,"2,790"
4.5,Thuế môn bài - License Tax,"10,380"
4.6,Thu khác - Others,"2,490"
5,Lệ phí trước bạ - Registration Fees,"42,000"
6,Thuế sử dụng đất nông nghiệp -Agricultural Land Use Tax,700
7,Thuế nhà đất - Land and Housing Tax,"13,500"
8,"Thuế thu nhập đối với người có thu nhập cao
Individual income tax","16,000"
9,Thu xổ số kiến thiết - Lottery Revenue,"100,000"
10,Thu phí xăng dầu - Gasoline Fees Revenue,"120,000"
11,"Thu phí, lệ phí - Fees","108,900"
12,"Thuế thu nhập từ chuyển quyền sử dụng đất
Income tax from land user right transfer","19,000"
13,"Thu giao quyền sử dụng đất 
Land use right assignment revenue","380,000"
14,"Thu tiền bán, thuê nhà ở thuộc sở hữu nhà nước
Sales, Leasing of State-owned Houses Revenue","20,000"
15,"Thu tiền thuê mặt đất, mặt nước 
Land and watersurface rental","12,000"
16,Các khoản thu tại xã - Revenue at Communes,"6,700"
17,Thu khác ngân sách - Other Revenues,"49,200"
II,Thu từ dầu thô - Oil revenues,"1,770,000"
III,"Thu thuế xuất khẩu, thuế nhập khẩu, thuế TTĐB, VAT hàng NK do Hải quan thu
Revenues from Export-Import duties, special consumption tax, VAT tax on Imports","10,000"
IV,Thu viện trợ không hoàn lại- Grants,
B,"Các khoản thu huy động để lại chi quản lý qua NSNN
Unbalance revenues","130,000"
,"TỔNG THU NGÂN SÁCH ĐỊA PHƯƠNG
TOTAL LOCAL BUDGET REVENUES","2,247,690"
I,"Các khoản thu cân đối NSĐP
Local budget balance revenues","2,117,690"
1,Các khoản thu hưởng 100% - Revenue with 100% entitlement,"739,034"
2,"Thu phân chia theo tỷ lệ % NSĐP được hưởng
Shared revenues in percentage","559,766"
3,"Thu bổ sung từ ngân sách Trung ương 
Transfers from Central budget","818,890"
B,"Các khoản thu huy động để lại chi quản lý qua NSNN
Unbalance revenues","130,000"
