UBND TP CẦN THƠ Mẫu số 12/CKNS-NSĐP CANTHO PEOPLES COMMITTEE Table 12/CKNS-NSDP
,,
DỰ TOÁN THU NGÂN SÁCH NHÀ NƯỚC NĂM 2007
PLAN OF STATE BUDGET REVENUES FY 2007

,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan"
,"TỔNG THU NGÂN SÁCH NHÀ NƯỚC TRÊN ĐỊA BÀN 
TOTAL STATE BUDGET REVENUE IN PROVINCIAL AREA","3,714,500"
A,"Tổng thu các khoản cân đối NSNN 
Total balancing revenues","3,454,500"
I,"Thu từ hoạt động sản xuất kinh doanh trong nước
Domestic revenues","1,976,000"
1,Thu từ DNNN trung ương - Central SOEs Revenue,"374,000"
,Thuế giá trị gia tăng - Value Added Tax,"254,000"
,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"8,970"
,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","110,000"
,Thuế tài nguyên - Natural resource tax,50
,Thuế môn bài - License Tax,280
,Thu khác - Others,700
2,Thu từ DNNN địa phương - Local SOEs Renenue,"220,000"
,Thuế giá trị gia tăng - Value Added Tax,"165,000"
,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"41,460"
,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","13,000"
,Thuế tài nguyên - Natural resource tax,130
,Thuế môn bài - License Tax,310
,Thu khác - Others,100
3,"Thu từ doanh nghiệp có vốn đầu tư nước ngoài 
Foreign Invested Enterprises Revenue","156,000"
,Thuế giá trị gia tăng - Value Added Tax,"82,000"
,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"36,000"
,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","37,710"
,"Tiền thuê mặt đất, mặt nước
Revenue from land surface rent, water surface rental",130
,Thuế môn bài - License Tax,110
,Thuế tài nguyên - Natural resource tax,
,Thu khác - Others,50
4,"Thu từ khu vực CTN, dịch vụ NQD
Non-state Sector Revenue","520,000"
,Thuế giá trị gia tăng - Value Added Tax,"308,795"
,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"190,605"
,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","7,220"
,Thuế tài nguyên - Natural resource tax,235
,Thuế môn bài - License Tax,"11,530"
,Thu khác - Others,"1,615"
5,Lệ phí trước bạ - Registration Fees,"76,000"
6,Thuế sử dụng đất nông nghiệp - Agricultural Land Use Tax,
7,"Thuế thu nhập đối với người có thu nhập cao
Individual income tax","59,000"
8,"Thu phí, lệ phí - Fees","53,300"
9,Thu phí xăng dầu - Gasoline Fees Revenue,"150,000"
10,Các khoản thu về nhà đất - Housing and land Revenues,"339,700"
,Thuế nhà đất - Land and Housing Tax,"12,000"
,Thuế chuyển quyền sử dụng đất -Land Use Right Transfer Tax,"42,000"
,"Tiền thuê mặt đất, mặt nước
Revenue from land surface rent, water surface rental","11,000"
,Thu tiền sử dụng đất - Land use revenue,"242,700"
,"Thu tiền bán, thuê nhà ở thuộc sở hữu nhà nước
Sales, Leasing of State-owned Houses Revenue","32,000"
11,"Thu từ quỹ đất công ích, hoa lợi công sản tại xã 
Revenue from public lands at communes","4,000"
12,Thu khác ngân sách - Other revenues,"24,000"
II,Thu từ dầu thô - Oil revenues,
III,"Thu thuế xuất khẩu, thuế nhập khẩu, thuế TTĐB, VAT hàng NK do Hải quan thu
Revenues from Export-Import duties, special consumption tax, VAT tax on Imports","928,500"
1,"Thu thuế xuất khẩu, thuế nhập khẩu, thuế TTĐB hàng NK
Export-Import tax, Special Consumption Tax on Imports","185,000"
2,Thu thuế GTGT hàng NK - VAT on Imports,"743,500"
IV,Thu viện trợ không hoàn lại - Grants,
V,"Thu huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8.Clause 3 - The State Budget Law","550,000"
B,"Các khoản thu để lại đơn vị chi quản lý qua NSNN
Unbalance revenues","260,000"
,Thu xổ số kiến thiết - Lottery Revenue,"260,000"
,"TỔNG THU NGÂN SÁCH ĐỊA PHƯƠNG
TOTAL LOCAL BUDGET REVENUES",
I,"Các khoản thu cân đối NSĐP
Local budget balancing revenues","2,705,518"
1,"Các khoản thu hưởng 100%
Revenue with 100% entitlement","479,950"
2,"Thu phân chia theo tỷ lệ % NSĐP được hưởng
Shared revenues in percentage","1,405,210"
3,"Thu bổ sung từ ngân sách Trung ương 
Transfers from Central budget","252,838"
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8.Clause 3 - The State Budget Law","550,000"
6,"Thu chuyển nguồn ngân sách năm trước chuyển sang
Brought forward revenues","17,520"
II,"Các khoản thu để lại đơn vị chi quản lý qua NSNN
Unbalance revenues","260,000"
