UBND TỈNH ĐĂK LĂK Mẫu số 11/CKNS-NSĐP
DAKLAK PEOPLES COMMITTEE Table 11/CKNS-NSDP
,,
"CÂN ĐỐI DỰ TOÁN NGÂN SÁCH CẤP TỈNH
 VÀ NGÂN SÁCH CỦA HUYỆN, THÀNH PHỐ THUỘC TỈNH NĂM 2007"
PLAN OF PROVINCIAL LEVEL BUDGET AND DISTRICTS BUDGET FY 2007

,Triệu đồng - Millions of dong
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan"
A,NGÂN SÁCH CẤP TỈNH - PROVINCIAL LEVEL BUDGET,
I,Nguồn thu ngân sách cấp tỉnh - Revenues,"2,569,167"
1,"Thu ngân sách cấp tỉnh hưởng theo phân cấp
Decentralized revenues","483,821"
,"Các khoản thu ngân sách cấp tỉnh hưởng 100%
Revenues with 100% entitlement","50,556"
,"Các khoản thu phân chia NS cấp tỉnh hưởng theo tỷ lệ %
Shared revenues in percentage","433,265"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","1,732,136"
,Bổ sung cân đối - Balancing transfers,"1,312,649"
,Bổ sung có mục tiêu - Target transfers,"419,487"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State Budget Law","200,000"
4,"Thu chuyển nguồn để thực hiện cải cách tiền lương
Brought forward revenues for salary reform",0
5,"Các khoản thu để lại quản lý qua ngân sách
Unbalance revenues","153,210"
II,Chi ngân sách cấp tỉnh - Expenditures,"2,569,167"
1,"Chi thuộc nhiệm vụ của ngân sách cấp tỉnh theo phân cấp (không kể số bổ sung cho cấp dưới) 
Decentralized Expenditure","1,684,239"
2,"Bổ sung cho ngân sách huyện, thị xã thuộc tỉnh
Transfers to districts budget","731,718"
,Bổ sung cân đối - Balancing transfers,"720,968"
,Bổ sung có mục tiêu - Target transfers,"10,750"
3,"Các khoản chi được quản lý qua NSNN
Unbalance expenditures","153,210"
B,"NGÂN SÁCH HUYỆN, THÀNH PHỐ THUỘC TỈNH
(BAO GỒM NS CẤP HUYỆN VÀ NGÂN SÁCH XÃ)
DISTRICTS &CITYS BUDGET (INCLUDING DISTRICT LEVEL AND COMMUNE LEVEL BUDGET)",
I,"Nguồn thu ngân sách huyện, TP thuộc tỉnh - Revenues","1,443,284"
1,"Thu ngân sách hưởng theo phân cấp
Decentralized revenues","623,248"
,"Các khoản thu ngân sách huyện hưởng 100%
Revenues with 100% entitlement","25,575"
,"Các khoản thu phân chia phần NS huyện hưởng theo tỷ lệ %
Shared revenues in percentage","597,673"
2,"Thu bổ sung từ ngân sách cấp tỉnh
Transfers from provincial level budget","731,718"
,Bổ sung cân đối - Balancing transfers,"720,968"
,Bổ sung có mục tiêu - Target transfers,"10,750"
3,"Các khoản thu để lại quản lý qua ngân sách
Unbalance revenues","46,310"
4,"Thu chuyển nguồn để thực hiện cải cách tiền lương
Brought forward revenues for salary reform","42,008"
II,"Chi ngân sách huyện, thị xã thuộc tỉnh - Expenditures",0
