UBND TỈNH ĐỒNG THÁP Mẫu số 10/CKNS-NSĐP DONGTHAP PEOPLES COMMITTEE Table 10/CKNS-NSDP,
,,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2007,
PLAN OF LOCAL BUDGETS FY 2007,
,,,
,Triệu đồng - Millions of dong,
,,,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan",

A,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in the provincial area","1,426,100",
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excl.oil)","1,142,100",
2,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","284,000",
B,Thu ngân sách địa phương - Local budget revenues,"2,407,437",
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","1,130,100",
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","420,730",
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Revenues shared in percentage","709,370",
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","907,337",
,Bổ sung cân đối - Balancing transfers,"658,310",
,Bổ sung có mục tiêu - Target transfers,"249,027",
3,"Các khoản thu để lại quản lý qua ngân sách
Unbalance revenues","370,000",
C,Chi ngân sách địa phương - Local budget expenditures,"2,407,437",
I,Chi cân đối NSĐP - Balancing Expenditures,"1,788,410",
1,"Chi đầu tư phát triển
Development Investment Expenditures","462,510",
2,Chi thường xuyên - Recurrent Expenditures,"1,254,388",
3,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial Reserve Fund","1,400",
4,Dự phòng ngân sách - Contingencies,"70,112",
II,"Chi từ nguồn NSTW bổ sung có mục tiêu
Target transfers from Central Budget","249,027",
III,"Các khoản chi được quản lý qua NSNN
Unbalance expenditures","370,000",
