UBND THÀNH PHỐ HÀ NỘI Mẫu số 12/CKNS-NSĐP HANOI PEOPLES COMMITTEE Table 12/CKNS-NSDP
,,
DỰ TOÁN THU NGÂN SÁCH NHÀ NƯỚC NĂM 2007
PLAN OF STATE BUDGET REVENUES FY 2007

,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan"
,"TỔNG THU NGÂN SÁCH NHÀ NƯỚC TRÊN ĐỊA BÀN 
TOTAL STATE BUDGET REVENUES IN PROVINCIAL AREA","45,598,133"
A,"Tổng thu các khoản cân đối NSNN 
Total balance revenues","44,743,000"
I,"Thu nội địa
Domestic revenues","33,945,000"
1,Thu từ DNNN trung ương - Central SOEs Revenue,"17,536,000"
,Thuế giá trị gia tăng - Value Added Tax,"2,871,500"
,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"13,750,000"
,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","900,000"
,Thuế môn bài - License Tax,"4,500"
,Thu khác - Others,"10,000"
2,Thu từ DNNN địa phương - Local SOEs Renenue,"540,000"
,Thuế giá trị gia tăng - Value Added Tax,"345,000"
,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"166,000"
,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","26,400"
,Thuế môn bài - License Tax,"1,380"
,Thu khác - Others,"1,220"
3,"Thu từ doanh nghiệp có vốn đầu tư nước ngoài 
Foreign-Invested Enterprises Revenue","4,900,000"
,Thuế giá trị gia tăng - Value Added Tax,"1,820,000"
,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"1,552,300"
,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","750,000"
,"Thuế thu nhập từ khí và lãi được chia
Shared interest, gas income tax","410,000"
,Tiền thuê mặt đất - Revenue from land surface rent,"10,000"
,Thuế môn bài - License Tax,"1,650"
,Thuế tài nguyên - Natural resource tax,"355,000"
,Thu khác - Others,"1,050"
4,"Thu từ khu vực CTN, dịch vụ NQD
Non-state Sector Revenue","3,000,000"
,Thuế giá trị gia tăng - Value Added Tax,"1,403,000"
,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"1,496,500"
,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic Sales Special Consumption Tax","14,300"
,Thuế môn bài - License Tax,"69,550"
,Thu khác - Others,"16,650"
5,Lệ phí trước bạ - Registration Fees,"600,000"
6,Thuế sử dụng đất nông nghiệp - Agricultural Land Use Tax,0
7,"Thuế thu nhập đối với người có thu nhập cao
Individual income tax","1,170,000"
8,Thu xổ số kiến thiết - Lottery Revenue,
9,"Thu phí, lệ phí - Fees","1,800,000"
10,Thu phí xăng dầu - Gasoline Fees Revenue,"511,000"
11,Các khoản thu về nhà đất - Housing and land Revenues,"3,678,000"
,Thuế nhà đất - Land and Housing Tax,"48,000"
,Thuế chuyển quyền sử dụng đất -Land Use Right Transfer Tax,"200,000"
,Thu tiền thuê đất - Land Rental Revenue,"230,000"
,"Thu giao quyền sử dụng đất 
Land use right assignment revenue","2,600,000"
,"Thu tiền bán, thuê nhà ở thuộc sở hữu nhà nước
Sales, Leasing of State-owned Houses Revenue","300,000"
,"Thu từ đấu giá tài sản công sau khi sắp xếp
Revenue from public assets auction after restructuring","300,000"
12,"Thu từ quỹ đất công ích, hoa lợi công sản tại xã 
Revenue from Public lands at Commune","60,000"
13,Thu khác ngân sách - Other revenues,"150,000"
II,Thu từ dầu thô - Oil revenues,"7,060,000"
III,"Thu thuế xuất khẩu, thuế nhập khẩu, thuế TTĐB, VAT hàng NK do Hải quan thu
Revenues from Export-Import duties, special consumption tax, VAT tax on Imports","3,738,000"
1,"Thu thuế xuất khẩu, thuế nhập khẩu, thuế TTĐB hàng NK
Export-Import tax, Special Consumption Tax on Imports","1,370,000"
2,Thu thuế GTGT hàng NK - VAT on Imports,"2,368,000"
B,"Các khoản thu để lại đơn vị chi quản lý qua NSNN
Unbalance revenues","855,133"
,"TỔNG THU NGÂN SÁCH ĐỊA PHƯƠNG
TOTAL LOCAL BUDGET REVENUES","14,198,076"
I,"Các khoản thu cân đối NSĐP
Balance Revenues","13,342,943"
1,"Các khoản thu hưởng 100%
Revenue with 100% entitlement","4,602,950"
2,"Thu phân chia theo tỷ lệ % NSĐP được hưởng
Shared revenues in percentage","4,931,296"
3,"Thu bổ sung từ ngân sách Trung ương 
Transfers from Central budget","1,808,697"
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State Budget Law","1,000,000"
6,"Tạm ứng từ NSTW
Advance payment from Central Budget","1,000,000"
II,"Các khoản thu để lại đơn vị chi quản lý qua NSNN
Unbalance revenues","855,133"
