UBND THÀNH PHỐ HẢI PHÒNG Mẫu số 11/CKNS-NSĐP HAIPHONG PEOPLES COMMITTEE Table 11/CKNS-NSDP
,,
"CÂN ĐỐI DỰ TOÁN NGÂN SÁCH CẤP THÀNH PHỐ 
VÀ NGÂN SÁCH QUẬN, HUYỆN THUỘC THÀNH PHỐ NĂM 2007"
PLAN OF PROVINCIAL LEVEL BUDGET AND DISTRICTS BUDGET FY 2007

,,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan"
A,"NGÂN SÁCH CẤP THÀNH PHỐ 
CITY LEVEL BUDGET",
I,Nguồn thu ngân sách cấp thành phố- Revenues,"3,200,538"
1,"Thu ngân sách cấp thành phố hưởng theo phân cấp
Decentralized Revenues","2,220,191"
,"Các khoản thu ngân sách cấp thành phố hưởng 100%
Revenues with 100% entitlement","558,105"
,"Các khoản thu phân chia NS cấp thành phố hưởng theo tỷ lệ %
Shared revenues in percentage","1,662,086"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from central budget","665,347"
,Bổ sung cân đối - Balancing Transfers,
,Bổ sung có mục tiêu - Target Transfers,"665,347"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3- The State Budget Law","315,000"
4,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues",
II,Chi ngân sách cấp thành phố - Expenditures,"3,200,538"
1,Chi thuộc nhiệm vụ của ngân sách cấp thành phố theo phân cấp (không kể số bổ sung cho cấp dưới) - Decentralized Expenditure,"2,849,550"
2,"Bổ sung cho ngân sách quận, huyện
Transfers to districts budget","350,988"
3,"Chi chuyển nguồn ngân sách sang năm sau
Brought forward expenditures",
B,"NGÂN SÁCH QUẬN, HUYỆN (BAO GỒM NS CẤP HUYỆN, XÃ)
DISTRICTS BUDGET (INCLUDING DISTRICT LEVEL AND COMMUNE LEVEL BUDGET)",
I,"Nguồn thu ngân sách quận, huyện - Revenues","753,487"
1,"Thu ngân sách hưởng theo phân cấp
Decentralized Revenues","402,499"
,"Các khoản thu ngân sách quận, huyện hưởng 100%
Revenues with 100% entitlement","106,315"
,"Các khoản thu phân chia NS quận, huyện hưởng theo tỷ lệ %
Shared revenues in percentage","296,184"
2,"Thu bổ sung từ ngân sách cấp thành phố
Transfers from provincial level budget","350,988"
II,"Chi ngân sách quận, huyện - Expenditures","753,487"
