UBND TỈNH HẬU GIANG Mẫu số 10/CKNS-NSĐP HAUGIANG PEOPLES COMMITTEE Table 10/CKNS-NSDP,
,,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2007,
PLAN OF LOCAL BUDGETS FY 2007,
,,,
,Triệu đồng - Millions of dong,
,,,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan",

I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","310,000",
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excl.oil)","310,000",
II,Thu ngân sách địa phương - Local budget revenues,"1,614,240",
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","308,498",
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","308,498",
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Revenues shared in percentage",,
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","880,902",
,Bổ sung cân đối - Balancing transfers,"517,284",
,Bổ sung có mục tiêu - Target transfers,"363,618",
3,"Thu trái phiếu Chính phủ
Revenues from Government bonds","280,000",
4,"Thưởng thu vượt năm 2006
Rewarding for exceeding revenues 2006","28,000",
5,"Thu viện trợ ODA từ nguồn JBIC
Revenues from ODA, JBIC","12,000",
6,"Thu quản lý qua ngân sách (XSKT)
Unbalance revenues (Lotteries)","90,000",
7,"Thu chuyển nguồn cải cách tiền lương 
Brought forward revenues of salary reform","14,840",
III,Chi ngân sách địa phương - Local Budget Expenditures,"1,614,240",
1,"Chi đầu tư phát triển
Development Investment Expenditures","851,930",
2,Chi thường xuyên - Recurrent Expenditures,"630,048",
3,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial Reserve Fund","1,000",
4,Dự phòng ngân sách - Contingencies,"23,678",
5,"Chi chương trình mục tiêu quốc gia
National target programs expenditure","70,879",
6,"Chi thực hiện các chính sách theo quy định
Spending to realize state policies","8,150",
7,"Chi cải cách tiền lương
Salary reform expenditure","28,555",
