UBND TỈNH TÂY NINH Mẫu số 10/CKNS-NSĐP TAY NINH PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2007
FLAN OF LOCAL BUDGETS FY 2007
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","1,576,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","970,000"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","146,000"
4,Thu viện trợ không hoàn lại - Grants,
5,"Các khoản thu được để lại chi quản lý qua NSNN
Unbalance revenues","460,000"
II,Thu ngân sách địa phương - Local budget revenues,"1,808,024"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","956,000"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","168,020"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","787,980"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","334,084"
,Bổ sung cân đối - Balancing transfers,"183,879"
,Bổ sung có mục tiêu - Target transfers,"150,205"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu từ tăng thu 2006 để thực hiện cải cách tiền lương
2006 Exceeding revenues for salary reform","57,940"
6,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues","460,000"
III,Chi ngân sách địa phương - Local budget expenditures,"1,808,024"
1,"Chi cân đối ngân sách địa phương
Local budget balance expenditure","1,275,102"
a,"Chi đầu tư phát triển
Development investment expenditures","265,794"
b,Chi thường xuyên - Recurrent expenditures,"887,222"
c,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law","30,000"
d,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,000"
e,Dự phòng - Contingencies,"33,146"
f,"Chi thực hiện cải cách tiền lương 2007 từ nguồn tăng thu 2006 chuyển sang
Spending from 2006 Exceeding revenues","57,940"
2,"Các khoản chi được quản lý qua NSNN
Unbalance expenditures","460,000"
,"- Học phí, viện phí và các khoản đóng góp
 Fees of tuition, hospital and contributions","60,000"
,"- Chi đầu tư từ nguồn thu Xổ số kiến thiết
 Spending from lotteries","400,000"
3,"Chi các chương trình MTQG, chương trình 135, dự án trồng mới 5 triệu ha rừng
Expenditure for nation target program, 135 program and 5 million hectare reforestation project","72,922"
