UBND TỈNH THÁI BÌNH Mẫu số 10/CKNS-NSĐP
PEOPLES COMMITTEE THAIBINH Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2007
FLAN OF LOCAL BUDGETS FY 2007
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","1,062,502"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","757,502"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","305,000"
4,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"2,157,525"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","749,700"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","432,331"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","317,369"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","1,373,825"
,Bổ sung cân đối - Balancing transfers,"1,114,048"
,Bổ sung có mục tiêu - Target transfers,"259,777"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","20,000"
6,Thu xổ số kiến thiết - Revenues from state- run lotteries,"14,000"
III,Chi ngân sách địa phương - Local budget expenditures,"2,157,525"
1,"Chi đầu tư phát triển
Development investment expenditures","791,162"
2,Chi thường xuyên - Recurrent expenditures,"1,144,119"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law","26,000"
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,450"
5,Dự phòng - Contingencies,"73,466"
6,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform","33,500"
7,"Chi CTMT quốc gia và nhiệm vụ khác 
Target program expenditure and others","73,828"
8,Chi từ nguồn xổ số kiến thiết - Expenditure from state- run lotteries sourse,"14,000"
