UBND TỈNH THÁI NGUYÊN Mẫu số 11/CKNS-NSĐP
PEOPLES COMMITTEE THAI NGUYEN Table 11/CKNS-NSDP
,,
"CÂN ĐỐI DỰ TOÁN NGÂN SÁCH CẤP TỈNH
 VÀ NGÂN SÁCH CỦA HUYỆN, THỊ XÃ, THÀNH PHỐ THUỘC TỈNH NĂM 2007"
"PLAN OF PROVINCIAL LEVEL BUDGET 
AND DISTRICTS BUDGET FY 2007"

,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
A,NGÂN SÁCH CẤP TỈNH - PROVINCIAL LEVEL BUDGET,
I,Nguồn thu ngân sách cấp tỉnh - Revenues,"1,636,872"
1,"Thu ngân sách cấp tỉnh hưởng theo phân cấp
Decentralized revenues","316,874"
,"Các khoản thu ngân sách cấp tỉnh hưởng 100%
Revenues with 100% entitlement","279,556"
,"Các khoản thu phân chia NS cấp tỉnh hưởng theo tỷ lệ %
Shared revenues in percentage","37,318"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","1,234,498"
,Bổ sung cân đối - Balancing transfers,"849,586"
,Bổ sung có mục tiêu - Target transfers,"384,912"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","19,500"
5,Thu quản lý qua ngân sách - Unbalance Revenues,"66,000"
II,Chi ngân sách cấp tỉnh - Expenditures,"1,636,872"
1,"Chi thuộc nhiệm vụ của ngân sách cấp tỉnh theo phân cấp (không kể số bổ sung cho cấp dưới) 
Decentralized expenditure","1,083,900"
,Chi trong cân đối - Balance Expenditure,"632,988"
,Chi chương trình MTQT - National Target Program Expenditure,"384,912"
,Chi quản lý qua ngân sách - Unbalance Expenditures,"66,000"
2,"Bổ sung cho ngân sách huyện, thị xã thuộc tỉnh
Transfers to districts budget","552,972"
,Bổ sung cân đối - Balancing transfers,"552,972"
,Bổ sung có mục tiêu - Target transfers,
3,"Chi chuyển nguồn ngân sách sang năm sau
Brought forward expenditures",
B,"NGÂN SÁCH HUYỆN, THỊ XÃ, THÀNH PHỐ THUỘC TỈNH
(BAO GỒM NS CẤP HUYỆN VÀ NGÂN SÁCH XÃ)
DISTRICTS &CITYS, TOWNS BUDGET (INCLUDING DISTRICT LEVEL AND COMMUNE LEVEL BUDGET)",
I,"Nguồn thu ngân sách huyện, thị xã thuộc tỉnh - Revenues","885,159"
1,"Thu ngân sách hưởng theo phân cấp
Decentralized revenues","283,487"
,"Các khoản thu ngân sách huyện hưởng 100%
Revenues with 100% entitlement","53,045"
,"Các khoản thu phân chia phần NS huyện hưởng theo tỷ lệ %
Shared revenues in percentage","230,442"
2,"Thu bổ sung từ ngân sách cấp tỉnh
Transfers from provincial level budget","552,972"
,Bổ sung cân đối - Balancing transfers,"552,972"
,Bổ sung có mục tiêu - Target transfers,
3,Chi quản lý qua ngân sách - Unbalance Expenditures,"48,700"
II,"Chi ngân sách huyện, thị xã thuộc tỉnh - Expenditures","885,159"
