UBND TỈNH TIỀN GIANG Mẫu số 11/CKNS-NSĐP TIEN GIANG PEOPLES COMMITTEE Table 11/CKNS-NSDP
,,
"CÂN ĐỐI DỰ TOÁN NGÂN SÁCH CẤP TỈNH 
VÀ NGÂN SÁCH CỦA HUYỆN, THỊ XÃ, THÀNH PHỐ THUỘC TỈNH NĂM 2007"
PLAN OF PROVINCIAL LEVEL BUDGET AND DISTRICTS BUDGET FY 2007

,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan"
A,NGÂN SÁCH CẤP TỈNH - PROVINCIAL LEVEL BUDGET,
I,Nguồn thu ngân sách cấp tỉnh - Revenues,"1,676,954"
1,"Thu ngân sách cấp tỉnh hưởng theo phân cấp
Decentralized revenues","681,491"
,"Các khoản thu ngân sách cấp tỉnh hưởng 100%
Revenues with 100% entitlement","430,303"
,"Các khoản thu phân chia NS cấp tỉnh hưởng theo tỷ lệ %
Shared revenues in percentage","251,188"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from central budget","567,433"
,Bổ sung cân đối - Balancing Transfers,"382,140"
,Bổ sung có mục tiêu - Target Transfers,"185,293"
3,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","18,030"
4,"Các khoản thu được để lại chi quản lý qua NSNN 
Unbalance expenditures","410,000"
II,Chi ngân sách cấp tỉnh - Expenditures,"1,676,954"
1,"Chi thuộc nhiệm vụ của ngân sách cấp tỉnh theo phân cấp (không kể số bổ sung cho cấp dưới)
Decentralized Expenditure","750,762"
2,"Bổ sung cho ngân sách huyện, thị xã, thành phố thuộc tỉnh
Transfers to districts budget","516,192"
,Bổ sung cân đối - Balancing transfers,"424,547"
,Bổ sung có mục tiêu - Target transfers,"91,645"
3,"Các khoản thu được để lại chi quản lý qua NSNN 
Unbalance expenditures","410,000"
B,"NGÂN SÁCH HUYỆN, THỊ XÃ, THÀNH PHỐ
(BAO GỒM NS CẤP HUYỆN VÀ NS CẤP XÃ)
DISTRICTS &TOWNS BUDGET (INCLUDING DISTRICT LEVEL AND COMMUNE LEVEL BUDGET)",
I,"Nguồn thu NS huyện, thị xã, thành phố thuộc tỉnh
Revenues","979,491"
1,"Thu ngân sách hưởng theo phân cấp
Decentralized revenues","455,299"
,"Các khoản thu ngân sách huyện hưởng 100%
Revenues with 100% entitlement","236,088"
,"Các khoản thu phân chia phần NS huyện hưởng theo tỷ lệ %
Shared revenues in percentage","219,211"
2,"Thu bổ sung từ ngân sách cấp tỉnh
Transfers from provincial level budget","516,192"
,Bổ sung cân đối - Balancing Transfers,"424,547"
,Bổ sung có mục tiêu - Target Transfers,"91,645"
3,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","8,000"
II,"Chi ngân sách huyện, quận, thị xã, thành phố thuộc tỉnh 
Expenditures","979,491"
