UBND TỈNH TRÀ VINH Mẫu số 12/CKNS-NSĐP TRAVINH PEOPLES COMMITTEE Table 12/CKNS-NSDP
,,
DỰ TOÁN THU NGÂN SÁCH NHÀ NƯỚC NĂM 2007
STATE BUDGET REVENUE PLAN FY 2007

,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan"
,"TỔNG THU NGÂN SÁCH NHÀ NƯỚC TRÊN ĐỊA BÀN 
TOTAL STATE BUDGET REVENUE IN PROVINCIAL AREA","495,000"
A,"Tổng thu các khoản cân đối NSNN 
Total Balancing Revenue","318,500"
I,"Thu từ hoạt động sản xuất kinh doanh trong nước
Domestic Revenues","318,500"
1,Thu từ DNNN trung ương - Central SOEs Revenue,"24,000"
,Thuế giá trị gia tăng - Value Added Tax,"23,260"
,Thuế thu nhập doanh nghiệp - Corporate Income Tax,590
,Thuế môn bài - License Tax,140
,Thu khác - Others,10
2,Thu từ DNNN địa phương - Local SOEs Renenue,"15,500"
,Thuế giá trị gia tăng - Value Added Tax,"8,720"
,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"6,500"
,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic sales special consumption tax",150
,Thuế tài nguyên - Natural resource tax,20
,Thuế môn bài - License Tax,100
,Thu khác - Others,10
3,"Thu từ doanh nghiệp có vốn đầu tư nước ngoài 
Foreign Invested Enterprises Revenue",700
,Thuế giá trị gia tăng - Value Added Tax,684
,Thuế môn bài - License Tax,16
4,"Thu từ khu vực CTN, dịch vụ NQD
Non-state Sector Revenue","165,000"
,Thuế giá trị gia tăng - Value Added Tax,"87,100"
,Thuế thu nhập doanh nghiệp - Corporate Income Tax,"70,000"
,"Thuế TTĐB hàng hóa, dịch vụ trong nước
Domestic sales special consumption tax",200
,Thuế môn bài - License Tax,"6,050"
,Thuế tài nguyên - Natural resource tax,50
,Thu khác - Others,"1,600"
5,Lệ phí trước bạ - Registration Fees,"19,000"
6,"Thuế thu nhập đối với người có thu nhập cao
Individual income tax","17,500"
7,"Thu phí, lệ phí - Fees","14,000"
8,Thu phí xăng dầu - Gasoline Fees Revenue,"13,000"
9,Các khoản thu về nhà đất - Housing and land Revenues,"36,200"
,Thuế nhà đất - Land and Housing Tax,"2,000"
,Thuế chuyển quyền sử dụng đất -Land Use Right Transfer Tax,"8,000"
,Thu tiền thuê đất - Land Rental Revenue,700
,"Thu giao quyền sử dụng đất 
Land use right assignment revenue","20,000"
,"Thu tiền bán, thuê nhà ở thuộc sở hữu nhà nước
Sales, Leasing of State-owned Houses Revenue","5,500"
10,"Thu từ quỹ đất công ích, hoa lợi công sản tại xã 
Revenue from Public lands at Communes",800
11,Thu khác ngân sách - Other Revenues,"12,800"
II,Thu từ dầu thô - Oil revenues,
III,"Thu thuế xuất khẩu, thuế nhập khẩu, thuế TTĐB, VAT hàng NK do Hải quan thu
Revenues from Export-Import duties, special consumption tax, VAT tax on Imports",
IV,Thu viện trợ không hoàn lại- Grants,
B,"Các khoản thu để lại đơn vị chi quản lý qua NSNN
Unbalance revenues","176,500"
1,"Các khoản huy động đóng góp xây dựng CSHT 
Contributions for infrastructure construction",
2,Các khoản phụ thu - Additional revenues,
3,Thu xổ số kiến thiết - Lottery Revenue,"176,500"
,"TỔNG THU NGÂN SÁCH ĐỊA PHƯƠNG
TOTAL LOCAL BUDGET REVENUES","1,466,426"
I,"Các khoản thu cân đối NSĐP
Local Budget Balancing Revenues","1,289,926"
1,"Các khoản thu hưởng 100%
Revenue with 100% entitlement","88,746"
2,"Thu phân chia theo tỷ lệ % NSĐP được hưởng
Shared revenues in percentage","227,704"
3,"Thu bổ sung từ ngân sách Trung ương 
Transfers from Central budget","973,476"
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8.Clause 3 - The State Budget Law",
6,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues",
II,"Các khoản thu để lại đơn vị chi quản lý qua NSNN
Unbalance revenues","176,500"
