UBND TỈNH AN GIANG Mẫu số 10/CKNS-NSĐP AN GIANG PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
FLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","2,218,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","1,768,550"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","38,000"
4,Thu viện trợ không hoàn lại - Grants,
5,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues","411,450"
II,Thu ngân sách địa phương - Local budget revenues,"3,001,257"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","1,760,050"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","829,632"
,Bổ sung cân đối - Balancing transfers,"492,643"
,Bổ sung có mục tiêu - Target transfers,"312,248"
,"Bổ sung thực hiện điều chỉnh tiền lương tối thiểu 
Transfers to readjust the minimum wage","24,741"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues",125
6,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues","411,450"
III,Chi ngân sách địa phương - Local budget expenditures,"3,001,257"
1,"Chi đầu tư phát triển
Development investment expenditures","688,230"
2,Chi thường xuyên - Recurrent expenditures,"1,838,407"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,170"
5,Dự phòng - Contingencies,"62,000"
6,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform",
7,"Chi CTMT quốc gia và nhiệm vụ khác 
Target program expenditure and others",
8,"Chi chuyển nguồn ngân sách sang năm sau
Brought forward expenditures",
9,"Các khoản chi được quản lý qua NSNN
Unbalance expenditures","411,450"
