UBND TỈNH BẮC GIANG Mẫu số 10/CKNS-NSĐP BAC GIANG PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
FLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","767,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","767,000"
II,Thu ngân sách địa phương - Local budget revenues,"2,704,674"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","767,000"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","1,823,078"
,Bổ sung cân đối - Balancing transfers,"1,292,306"
,Bổ sung có mục tiêu - Target transfers,"418,481"
,Bổ sung từ ngân sách Trung ương,"112,291"
3,"Nguồn làm lương 
Salary reform resources","114,596"
III,Chi ngân sách địa phương - Local budget expenditures,"2,704,674"
1,"Chi đầu tư phát triển
Development investment expenditures","826,000"
2,Chi thường xuyên - Recurrent expenditures,"1,724,778"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,200"
5,Dự phòng - Contingencies,"70,630"
6,Bổ sung có mục tiêu - Target transfers,"7,266"
7,"Chi CTMT quốc gia và nhiệm vụ khác 
Target program expenditure and others","74,800"
