UBND TỈNH BẮC KẠN Mẫu số 10/CKNS-NSĐP BAC KAN PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
PLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","135,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","127,000"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","8,000"
4,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"1,259,015"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","127,000"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","55,590"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","71,410"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","1,093,765"
,Bổ sung cân đối - Balancing transfers,"594,980"
,Bổ sung có mục tiêu - Target transfers,"465,254"
,"Bổ sung để thực hiện điều chỉnh lương tối thiểu 
Transfers to salary reform","33,531"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","36,750"
6,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues","1,500"
III,Chi ngân sách địa phương - Local budget expenditures,"1,259,015"
1,"Chi đầu tư phát triển
Development investment expenditures","139,350"
2,Chi thường xuyên - Recurrent expenditures,"615,731"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,000"
5,Dự phòng - Contingencies,"28,170"
6,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform","17,860"
7,"Chi CTMT quốc gia và nhiệm vụ khác 
Target program expenditure and others","455,404"
9,"Chi từ nguồn thu quản lý qua NSNN
Unbalance revenues",1500
