UBND TỈNH ĐỒNG THÁP Mẫu số 10/CKNS-NSĐP DONG THAP PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
PLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","1,715,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","1,395,000"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","320,000"
4,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"2,893,698"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","1,387,000"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","461,620"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","925,380"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","905,968"
,Bổ sung cân đối - Balancing transfers,"658,310"
,Bổ sung có mục tiêu - Target transfers,"247,658"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","70,730"
6,Thu xổ số kiến thiết - Revenues from state- run lotteries,"380,000"
7,"Thu huy động đầu tư theo khoản 3 điều 8 của luật NSNN
Investment mobilizations under article 8. clause 3 - the State budget law","150,000"
III,Chi ngân sách địa phương - Local budget expenditures,"2,893,698"
1,"Chi đầu tư phát triển
Development investment expenditures","510,000"
2,Chi thường xuyên - Recurrent expenditures,"1,434,430"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,400"
5,Dự phòng - Contingencies,"75,000"
6,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform","95,210"
7,"Chi từ nguồn bổ sung có mục tiêu của TW 
Target transfers by central budget","247,658"
8,"Chi đầu tư từ nguồn thu xổ số kiến thiết
Investments from lottery revenues","380,000"
9,"Chi đầu tư từ nguồn vốn vay
Investment from loans","150,000"
