UBND THÀNH PHỐ HẢI PHÒNG Mẫu số 13/CKNS-NSĐP HAIPHONG PEOPLES COMMITTEE Table 13/CKNS-NSDP
,,
DỰ TOÁN CHI NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
PLAN OF LOCAL BUDGET EXPENDITURES FY2008

,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan"
,"TỔNG CHI NGÂN SÁCH ĐỊA PHƯƠNG
TOTAL LOCAL BUDGET EXPENDITURES","5,064,634"
A,"Tổng chi cân đối ngân sách địa phương
Total balancing expenditures","4,524,234"
I,"Chi đầu tư phát triển
Development investment expenditures","1,767,506"
,Trong đó - Of which:,
1,"Chi giáo dục, đào tạo và dạy nghề
Education, training and vocational training","169,381"
2,"Chi khoa học, công nghệ - Science and technology","7,622"
II,Chi thường xuyên - Recurrent expenditures,"2,490,958"
,Trong đó - Of which:,
1,"Chi giáo dục, đào tạo và dạy nghề
Education, training and vocational training","1,007,461"
2,"Chi khoa học, công nghệ - Science and technology","30,654"
IV,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial Reserve Fund","1,700"
V,Dự phòng ngân sách - Contingencies,"125,370"
VI,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State Budget Law","138,700"
VIII,"Chi từ nguồn bổ sung của NSTW
Spending from Central budgets transfers",
B,"Các khoản chi được quản lý qua NSNN
Unbalance expenditures","540,400"
