UBND TỈNH HẬU GIANG Mẫu số 10/CKNS-NSĐP HAU GIANG PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
FLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","328,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","328,000"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net",
4,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"2,060,697"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","326,460"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","326,460"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage",
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","939,555"
,Bổ sung cân đối - Balancing transfers,"517,284"
,Bổ sung có mục tiêu - Target transfers,"422,271"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,Thu nguồn làm lương - Sources for salary,"80,972"
5,Thu xổ số kiến thiết - Lottery revenues,"90,000"
6,Thu trái phiếu Chính phủ - Government bond,"476,710"
7,Thu viện trợ ODA - ODA finances,"25,000"
8,Thu vay tín dụng Nhà nước - State loans,"30,000"
9,"Thu tạm ứng vốn Kho bạc Nhà nước 
Advances from state treasury","50,000"
10,"Thu hỗ trợ từ nguồn kết dư NSTW
Transfers from the centralbuget remainders","22,000"
11,"Thu chuyển nguồn công trái giáo dục 
Brought forward revenues of education bonds","20,000"
III,Chi ngân sách địa phương - Local budget expenditures,"2,060,697"
1,"Chi đầu tư phát triển
Development investment expenditures","1,051,541"
2,Chi thường xuyên - Recurrent expenditures,"709,593"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law","133,000"
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,000"
5,Dự phòng - Contingencies,"24,600"
6,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform","54,902"
7,"Chi CTMT quốc gia và nhiệm vụ khác 
Target program expenditure and others","86,061"
8,"Chi chuyển nguồn ngân sách sang năm sau
Brought forward expenditures",
