UBND THÀNH PHỐ HỒ CHÍ MINH Mẫu số 10/CKNS-NSĐP HO CHI MINH CITY PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
FLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","98,070,200"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","50,043,000"
2,Thu từ dầu thô - Oil revenues,"9,580,000"
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","37,475,000"
4,Thu từ khí thiên nhiên,"972,200"
5,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"18,594,757"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","16,819,261"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","5,410,660"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","11,408,601"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","955,496"
,Bổ sung cân đối - Balancing transfers,
,Bổ sung có mục tiêu - Target transfers,"955,496"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues","820,000"
III,Chi ngân sách địa phương - Local budget expenditures,"18,594,757"
1,"Chi đầu tư phát triển
Development investment expenditures","7,531,733"
,Trong đó - Of which,
,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law","3,755,033"
2,Chi thường xuyên - Recurrent expenditures,"8,934,256"
3,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","65,000"
4,Dự phòng - Contingencies,"595,000"
5,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform","513,272"
6,"Chi từ nguồn bổ sung của Ngân sách Trung ương
Spending from the central budget transfers","955,496"
7,"Chi chuyển nguồn ngân sách sang năm sau
Brought forward expenditures",
