UBND TỈNH QUẢNG NAM Mẫu số 10/CKNS-NSĐP QUANG NAM PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
PLAN OF LOCAL BUDGET FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","1,280,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","950,000"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","330,000"
4,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"3,110,282"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","946,500"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","663,344"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","283,156"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","1,951,425"
,Bổ sung cân đối - Balancing transfers,"1,180,926"
,Bổ sung có mục tiêu - Target transfers,"770,499"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","79,857"
6,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues","132,500"
III,Chi ngân sách địa phương - Local budget expenditures,"3,110,282"
1,"Chi đầu tư phát triển
Development investment expenditures","1,060,604"
2,Chi thường xuyên - Recurrent expenditures,"1,833,069"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law","23,670"
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,450"
5,Dự phòng - Contingencies,"58,989"
6,"Chi từ nguồn thu để lại chi quản lý qua NSNN
Unbalance expenditures","132,500"
