UBND TỈNH SÓC TRĂNG Mẫu số 10/CKNS-NSĐP SOC TRANG PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
FLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","840,500"
1,"Thu nội địa (không kể thu xổ số kiến thiết)
Domestic revenue","840,500"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net",
4,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"2,285,422"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","837,200"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","324,536"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","512,664"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","1,092,222"
,Bổ sung cân đối - Balancing transfers,"610,666"
,Bổ sung có mục tiêu - Target transfers,"481,556"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues",
6,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues","146,000"
7,Thu xổ số kiến thiết - Lottery revenues,"210,000"
III,Chi ngân sách địa phương - Local budget expenditures,"2,285,422"
1,"Chi đầu tư phát triển
Development investment expenditures","560,275"
2,Chi thường xuyên - Recurrent expenditures,"1,099,375"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,000"
5,Dự phòng - Contingencies,"42,210"
6,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform",
7,"Chi CTMT quốc gia và nhiệm vụ khác 
Target program expenditure and others","436,562"
8,Các khoản quản lí qua NSNN - Unbalance expenditures,"146,000"
