UBND TỈNH TÂY NINH Mẫu số 10/CKNS-NSĐP TAY NINH PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
PLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","1,805,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","1,200,000"
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","180,000"
5,Các khoản thu để lại chi quản lý qua NSNN,"425,000"
II,Thu ngân sách địa phương - Local budget revenues,"2,035,247"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","1,181,992"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","199,559"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","982,433"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","341,609"
,Bổ sung cân đối - Balancing transfers,"183,879"
,Bổ sung có mục tiêu - Target transfers,"157,730"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","86,646"
6,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues","425,000"
III,Chi ngân sách địa phương - Local budget expenditures,"2,035,247"
1,"Chi đầu tư phát triển
Development investment expenditures","310,800"
2,Chi thường xuyên - Recurrent expenditures,"1,074,857"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law","24,100"
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,000"
5,Dự phòng - Contingencies,"36,150"
6,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform","94,975"
7,"Chi CTMT quốc gia và nhiệm vụ khác 
Target program expenditure and others","68,365"
8,"Các khoản chi được quản lý qua NSNN 
Unbalance expenditures","425,000"
