UBND TỈNH THÁI BÌNH Mẫu số 10/CKNS-NSĐP THAI BINH PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
FLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","1,229,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","899,000"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","330,000"
4,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"2,468,180"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","880,100"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","412,612"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","467,488"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","1,521,080"
,Bổ sung cân đối - Balancing transfers,"1,114,048"
,Bổ sung có mục tiêu - Target transfers,"381,593"
,"Bổ sung thực hiện cải cách tiền lương NĐ 94
Salary reform transfers by Decree 94","25,439"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","51,000"
6,Thu xổ số kiến thiết - Revenues from state- run lotteries,"16,000"
III,Chi ngân sách địa phương - Local budget expenditures,"2,468,180"
1,"Chi đầu tư phát triển
Development investment expenditures","852,797"
2,Chi thường xuyên - Recurrent expenditures,"1,397,374"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law","19,000"
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,450"
5,Dự phòng - Contingencies,"75,460"
6,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform","20,000"
7,"Chi CTMT quốc gia và nhiệm vụ khác 
Target program expenditure and others","86,099"
8,Chi từ nguồn xổ số kiến thiết - Expenditure from state- run lotteries sourse,"16,000"
