UBND TỈNH THANH HOÁ Mẫu số 10/CKNS-NSĐP THANH HOA PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
FLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","1,971,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","1,941,500"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","29,500"
4,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"5,781,854"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","1,935,000"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","1,935,000"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage",
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","3,744,737"
,Bổ sung cân đối - Balancing transfers,"2,438,754"
,Bổ sung có mục tiêu - Target transfers,"1,305,983"
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8. Clause 3 - The State budget law",
4,Thu kết dư ngân sách - Budget remainder revenue,
5,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues",
6,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues",
7,Huy động nguồn làm lương - Sources for salary reforms,"102,117"
III,Chi ngân sách địa phương - Local budget expenditures,"5,781,854"
1,"Chi đầu tư phát triển
Development investment expenditures","1,452,010"
2,Chi thường xuyên - Recurrent expenditures,"3,859,772"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","3,230"
5,Dự phòng - Contingencies,"168,140"
6,"Chi thực hiện cải cách tiền lương
Expenditure for salary reform",
7,"Chi CTMT quốc gia và nhiệm vụ khác 
Target program expenditure and others","297,202"
8,"Chi chuyển nguồn ngân sách sang năm sau
Brought forward expenditures",
9,Chi viện trợ - Provision of grants,"1,500"
