UBND TỈNH TRÀ VINH Mẫu số 10/CKNS-NSĐP TRA VINH PEOPLES COMMITTEE Table 10/CKNS-NSDP
,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2008
FLAN OF LOCAL BUDGETS FY 2008
,,
,Triệu đồng - Millions of dong
,,
"STT
No",Chỉ tiêu - Items,"Dự toán
Plan"
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","400,000"
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excluding oil)","400,000"
2,Thu từ dầu thô - Oil revenues,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net",
4,Thu viện trợ không hoàn lại - Grants,
II,Thu ngân sách địa phương - Local budget revenues,"1,723,625"
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","396,500"
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","115,320"
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","281,180"
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","1,103,180"
,Bổ sung cân đối - Balancing transfers,"692,279"
,Bổ sung có mục tiêu - Target transfers,"364,756"
,"Bổ sung để thực hiện điều chỉnh tiền lương
Salary reform transfers","46,145"
3,"Các khoản thu để lại quản lý qua ngân sách 
Unbalance revenues","220,153"
4,"Thu chuyển nguồn để thực hiện cải cách tiền lương
Brought forward revenues for salary reform","3,792"
III,Chi ngân sách địa phương - Local budget expenditures,"1,723,625"
1,"Chi đầu tư phát triển
Development investment expenditures","430,120"
2,Chi thường xuyên - Recurrent expenditures,"1,041,102"
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,000"
5,Dự phòng - Contingencies,"31,250"
6,"Chi quản lý qua ngân sách 
Unbalance expenditures","220,153"
